English,Chinese
bundy,邦迪
howie,豪伊
jp,日本人
unreal,虚幻
screens,屏幕
mouthing,嘴型
ziggy,之字形
failures,失败
commanded,命令的
recon,侦察
representation,表示
bending,弯曲
gallant,英勇
satisfying,令人满意
cheater,骗子
pornography,色情
urn,瓮
assign,分配
uncles,叔叔们
vine,藤
auspicious,吉祥
tripping,绊倒
seafood,海鲜
mellow,醇厚
announcing,宣布
resumes,简历
hawaiian,夏威夷人
ac,交流电
centers,中心
adultery,通奸
scatter,分散
lotion,洗剂
opposing,反对
dominated,占主导地位
unpack,打开包装
violate,违反
transmit,发送
testicles,睾丸
zhao,赵
ames,艾姆斯
t.c.,t.c.
kayla,凯拉
hungary,匈牙利
albums,专辑
well-being,福利
porridge,稀饭
gavel,木槌
prem,普雷姆
rattles,拨浪鼓
eliot,艾略特
titties,奶子
strengthen,加强
sensitivity,灵敏度
fitzgerald,菲茨杰拉德
tamara,塔玛拉
removal,移动
sacks,麻袋
downloaded,下载的
morocco,摩洛哥
sniffling,抽鼻子
crowns,皇冠
saddam,萨达姆
nerds,书呆子
accepts,接受
hive,蜂巢
radha,拉达
outdoor,户外的
raquel,拉奎尔
dew,露
ing,英
mt,公吨
currents,电流
explanations,解释
soaking,浸泡
tanaka,田中
vitals,命脉
navigation,导航
joins,加入
intrigued,感兴趣
harp,竖琴
führer,元首
margin,利润
everett,埃弗里特
anthem,国歌
aa,啊
kylie,凯莉
c,c
distracting,分散注意力的
fertility,生育力
amazingly,令人惊奇地
horrific,可怕的
indictment,起诉书
superstition,迷信
ultrasound,超声波
shifted,转移
sincerity,诚意
hamburg,汉堡
davy,戴维
trashed,被扔掉的
casper,卡斯帕
dumplings,饺子
digest,消化
whacked,重击
jacks,千斤顶
kiddin,基丁
casualty,伤亡
bethany,贝瑟尼
thump,扑通
proportion,部分
quantity,数量
janine,珍妮
deceiving,欺骗
weave,编织
hikaru,光
sdh,SDH
corrupted,损坏的
gallows,绞刑架
budge,让步
fraction,分数
afar,远方
hiroshi,弘
leela,里拉
measurements,测量
landlady,房东
certified,认证的
dusk,黄昏
luisa,路易莎
insisting,坚持
hilton,希尔顿
indoors,室内
hawkeye,鹰眼
saliva,唾液
homey,温馨的
whispered,低声说
maura,毛拉
cyanide,氰化物
marched,游行
accounted,会计
diver,潜水员
eligible,有资格的
robbins,罗宾斯
ch00ff00,ch00ff00
messes,混乱
abandoning,放弃
blossoms,开花
wiggle,摆动
awaken,唤醒
cid,西德
stained,染色的
ballard,巴拉德
elevated,高架
ryo,亮
transparent,透明的
unclear,不清楚
strokes,笔画
aria,咏叹调
hwa,华
solidarity,团结
sidekick,伙伴
starter,起动机
regarded,被视为
corinne,科琳娜
vulcan,火神
bradford,布拉德福德
godzilla,哥斯拉
belgian,比利时人
seemingly,似乎
cling,紧贴
components,成分
vibrates,振动
missouri,密苏里州
constance,康斯坦斯
batting,击球
chanel,香奈儿
sap,树液
marbles,弹珠
shifting,转移
wiping,擦拭
refill,补充装
famine,饥荒
sneeze,喷嚏
puzzles,谜题
provisions,规定
shite,什特
walkin,行走
syringe,注射器
platinum,铂
preferably,最好
oyster,牡蛎
exhaust,排气
electromagnetic,电磁
consumer,消费者
lasagna,烤宽面条
barnaby,巴纳比
catastrophic,灾难性的
winchester,温彻斯特
woah,哇哦
be-,是-
evacuated,疏散
serge,哔叽
relic,遗迹
describes,描述
merger,合并
muck,淤泥
buds,芽
socially,社交上
enlisted,入伍
deposits,存款
philippines,菲律宾
archbishop,大主教
smuggle,走私
climax,高潮
progressive,进步
wheezing,喘息
singles,单打
pillar,支柱
fearful,可怕
spade,铲
saucer,碟子
ratio,比率
craving,渴望
addicts,瘾君子
clifford,克利福德
orson,奥森
nashville,纳什维尔
beauties,美女
obscure,朦胧
signora,夫人
troublesome,麻烦的
rubble,瓦砾
largely,很大程度上
fong,芳
irina,伊琳娜
ahn,安
admiration,钦佩
lizzy,丽兹
flap,皮瓣
brutality,残酷
mariana,马里亚纳
prevail,占上风
tattooed,纹身的
brats,臭小子
anguish,痛苦
whim,一时兴起
nada,纳达
leaks,泄漏
cum,暨
cupid,丘比特
hana,哈纳
colonial,殖民
frau,女士
speeds,速度
uld,乌尔德
perpetrator,肇事者
watermelon,西瓜
emptied,清空
sponsored,赞助的
rooftop,屋顶
athena,雅典娜
managers,经理人
extraction,萃取
stat,统计数据
rhino,犀牛
diarrhea,腹泻
disregard,漠视
warmed,温暖的
goggles,风镜
colombia,哥伦比亚
struggles,挣扎
fitness,健康
scalp,头皮
veterans,退伍军人
suitcases,手提箱
kensi,肯西
watchman,守望者
caress,抚摸
devlin,德夫林
exclusively,只
disciple,弟子
misty,蒙蒙
aura,光环
helm,舵
crockett,克罗克特
inhale,吸入
buckets,水桶
adored,崇拜的
shillings,先令
kari,卡里
tents,帐篷
revoir,再见
hedge,对冲
e.r.,呃
snorting,打呼噜
viper,毒蛇
digger,挖掘机
breaker,断路器
meatballs,肉丸
suppress,压制
witty,机智
wonderfully,奇妙地
shogun,幕府将军
encouragement,鼓励
intercepted,拦截
goddamned,该死的
posting,发帖
cleanse,洁净
f.b.i.,联邦调查局。
no-,不-
competitor,竞争者
abbot,方丈
trenches,战壕
sizzling,铁板的
lyon,里昂
mustang,野马
stewie,斯图伊
kg,公斤
rested,休息了
reflected,反映
stand-up,起来
habitat,栖息地
molecular,分子
obnoxious,令人讨厌的
24-hour,24小时
wraith,幽灵
sarcasm,讽刺
tung,桐
renowned,著名的
tofu,豆腐
wildly,疯狂地
blondie,金发女郎
refund,退款
goon,呆子
pulp,纸浆
exaggerated,夸张的
shad0,沙德0
embedded,嵌入式
chateau,城堡
harlan,哈兰
provoked,激怒了
antony,安东尼
guido,吉多
nile,尼罗河
alfie,阿尔菲
cages,笼子
skates,冰鞋
resemble,类似
sticker,贴纸
lennox,伦诺克斯
unstoppable,势不可挡
veal,小牛肉
fe,铁
isle,小岛
characteristics,特征
earthquakes,地震
cold-blooded,冷血的
ambushed,遭到伏击
zap,扎普
reaper,收割者
deployed,已部署
biblical,圣经的
puck,冰球
mystic,神秘
aya,绫
gaby,加比
intends,打算
muffins,松饼
speedy,迅速
course,课程
republicans,共和党人
bolts,螺栓
enrique,恩里克
hoax,骗局
raided,袭击
intersection,路口
presently,目前
supplier,供应商
shuffle,随机播放
edited,已编辑
rubbed,擦过
vegan,素食主义者
outdoors,户外
distinctive,独特的
upcoming,即将到来
brighton,布莱顿
wagons,马车
granger,格兰杰
peeing,撒尿
oracle,甲骨文
glitter,闪光
amulet,护身符
suspend,暂停
guild,公会
convertible,敞篷车
squared,平方
battling,战斗
steward,管家
weston,韦斯顿
gateway,网关
rites,仪式
distributed,分布式
pavement,路面
projector,投影仪
rugby,橄榄球
jt,杰特
fragment,分段
baldwin,鲍德温
obscene,猥亵
zebra,斑马
raping,强奸
analyst,分析师
eta,埃塔
elbows,肘部
detonator,雷管
disneyland,迪士尼乐园
rails,导轨
earthly,尘世的
modesty,谦逊
assess,评估
vinci,芬奇
librarian,图书管理员
do-,做-
moran,莫兰
suffice,够了
gravitational,引力
crowley,克劳利
slumber,睡眠
homie,朋友
bribes,贿赂
aces,王牌
sodium,钠
hubert,休伯特
trajectory,弹道
credible,可信的
declined,拒绝
canary,金丝雀
eyesight,视力
jug,壶
duplicate,复制
developments,事态发展
capitalism,资本主义
polished,抛光的
defenses,防御
xi,希
crates,板条箱
fences,栅栏
differ,不同
hodgins,霍金斯
enzo,恩佐
chaotic,混乱的
gardening,园艺
gram,克
tinker,修补匠
forecast,预报
ti,钛
pinched,捏的
tangled,纠结的
macy,梅西百货
plunge,暴跌
bulletproof,防弹
module,模块
firewood,柴
pizzas,披萨
overly,过于
retail,零售
novak,诺瓦克
grover,格罗弗
arturo,阿图罗
appalling,令人震惊的
rows,行
felicia,费利西亚
concentrating,集中精力
transferring,转移
mash,捣碎
growl,咆哮
sliced,切片
rewards,奖励
braces,大括号
livestock,家畜
users,用户
recruiting,招聘
gunman,枪手
dictate,听写
bathrooms,浴室
nobles,贵族
picky,挑剔的
linus,莱纳斯
platter,拼盘
vultures,秃鹫
organism,生物
sweeter,更甜
scarecrow,稻草人
manufacturing,制造业
pup,小狗
mitzvah,成人礼
crackles,爆裂声
proudly,骄傲地
interpreter,口译员
leigh,利
genetically,遗传上
frying,煎炸
redeem,赎回
cara,卡拉
ledge,壁架
qing,庆
tyranny,暴政
charleston,查尔斯顿
cutest,最可爱的
skins,皮肤
rosy,红润
nomination,提名
textbook,教科书
descendants,后裔
sabine,萨宾
saunders,桑德斯
hast,哈斯特
dubois,杜布瓦
finland,芬兰
loretta,洛雷塔
unsolved,未解决的
pioneer,先锋
or-,或者-
ramirez,拉米雷斯
suzie,苏西
hugged,拥抱
angelica,当归
cesare,切萨雷
throttle,风门
powered,供电的
carving,雕刻
thrive,蓬勃发展
d.j.,d.j.
allergy,过敏
icu,重症监护病房
suzy,苏西
pong,乒乓球
squares,正方形
alphabet,字母
threesome,三人行
accordingly,因此
sect,教派
maternity,产妇
scarce,稀缺
internship,实习
morty,莫蒂
tones,音调
sirs,先生们
unwell,不适
nellie,内莉
import,进口
temporal,颞
mohammed,穆罕默德
anticipate,预料
democrats,民主党人
pfft,扑通扑通
terminated,终止
spree,狂欢
ami,阿米
interviewer,面试官
respectfully,尊敬
futile,无用的
dictator,独裁者
stuffy,闷
wai,围
mammals,哺乳动物
fasten,系
neptune,海王星
giggle,傻笑
grandchild,孙子
pharmaceutical,制药
persian,波斯语
tactic,战术
itching,瘙痒
observer,观察者
tesla,特斯拉
wallpaper,墙纸
thorne,索恩
jiang,江
austrian,奥地利的
output,输出
malley,马利
goliath,歌利亚
trophies,奖杯
joyful,快乐
spouse,配偶
giorgio,乔治
rightly,正确地
hobbies,爱好
there,那里
vito,维托
naming,命名
yates,耶茨
stale,陈旧
teamwork,团队合作
obedient,听话
switches,开关
rating,等级
regulation,规定
raving,狂言
dioxide,二氧化碳
boner,笨蛋
bc,公元前
implant,注入
mari,马里
satisfactory,满意的
espresso,浓缩咖啡
bach,巴赫
sleeper,轨枕
construct,构造
rations,口粮
munch,咀嚼
anjali,安贾利
coordinate,协调
stag,麈
dominique,多米尼克
backseat,后座
chrissy,克莉丝
analyzed,分析过的
reschedule,重新安排
uphold,坚持
sorority,联谊会
bono,博诺
princeton,普林斯顿
inconvenient,不方便
crumbs,面包屑
reconstruction,重建
pipeline,管道
reunited,重聚
confidentiality,保密性
embraced,拥抱
overruled,否决了
enlightenment,启示
puddle,水坑
mortals,凡人
comfortably,舒适地
vlad,弗拉德
misha,米沙
ukraine,乌克兰
swam,游泳
annette,安妮特
demonic,恶魔般的
sora,索拉
demise,灭亡
donatello,多纳泰罗
fungus,菌
barefoot,赤脚
tacos,炸玉米饼
skeletons,骷髅
beak,喙
fanfare,大张旗鼓
maryland,马里兰州
felipe,费利佩
picard,皮卡德
mascot,吉祥物
lemonis,柠檬
drastic,激烈的
proceeding,诉讼程序
presidents,总统
intrude,侵入
stiles,斯泰尔斯
sums,总和
deprived,被剥夺的
advertisement,广告
farting,放屁
straightened,拉直
foremost,最重要的
adjustment,调整
charade,猜字游戏
blanks,空白
stig,斯蒂格
puncture,穿刺
spank,打屁股
utah,犹他州
booing,嘘声
abs,腹肌
minimal,最小的
gals,女孩们
flashes,闪烁
andrei,安德烈
requirements,要求
greenhouse,温室
marx,马克思
ma,马
vermont,佛蒙特
comprehend,理解
canoe,独木舟
baton,指挥棒
arsehole,混蛋
graduating,即将毕业
partially,部分地
sensing,传感
kinky,淫
titans,泰坦
microscope,显微镜
intimidating,令人生畏的
ren,任
babu,巴布
territories,领土
vaguely,依稀
geese,鹅
hardship,困难
karin,卡琳
exceptions,例外情况
jing,靖
gramps,爷爷
florrick,弗洛里克
doubles,双打
knitting,针织
slowed,放慢了
administrator,行政人员
blacksmith,铁匠
ctu,计算机单元
tolling,收费
correspondence,一致
fashionable,时髦
overlooked,被忽视的
siobhan,西沃恩
matron,护士长
arcade,拱廊
gestures,手势
lonnie,朗尼
bord0,博德0
quits,退出
outnumbered,寡不敌众
lockhart,洛克哈特
verbal,口头
mc,MC
terminate,终止
hosts,主机
rye,黑麦
chirps,叽叽喳喳
presidency,总统职位
roberta,罗伯塔
devote,奉献
30th,30号
dumps,转储
hallo,你好
improvise,凑合
monique,莫妮克
pooh,呸
starship,星舰
spades,黑桃
fumes,烟雾
cawing,叫声
aluminum,铝
squeak,吱
drafted,起草的
ssh,SSH
everest,珠穆朗玛峰
michaels,迈克尔斯
commonwealth,联邦
candace,坎迪斯
cappuccino,卡布奇诺
cucumber,黄瓜
inventor,发明者
folder,文件夹
slamming,砰的一声
favours,恩惠
peppers,辣椒
appeals,上诉
walton,沃尔顿
reasoning,推理
adequate,足够的
snickers,士力架
glued,胶合
ifs,如果
nets,网
hangar,机库
godmother,教母
empty-handed,空手而归
sátur,萨杜尔
forum,论坛
joys,欢乐
foolishness,愚蠢
sybil,西比尔
crest,波峰
playful,俏皮的
peers,同行
horrors,恐怖
grown-ups,大人
bleach,漂白
disastrous,灾难性的
lineup,阵容
glamour,魅力
coronation,加冕
halo,晕
sookie,苏基
highlight,强调
ziva,齐瓦
ponies,小马
errors,错误
viv,维夫
alvarez,阿尔瓦雷斯
pluto,冥王星
weights,重量
arabia,阿拉伯
imperative,至关重要的
trader,商
galileo,伽利略
tainted,被污染的
drugstore,药店
lenses,镜片
obstruction,梗阻
segment,部分
envious,羡慕
gertrude,格特鲁德
twisting,扭转
nikolai,尼古拉
insured,被保险人
overlook,俯瞰
icon,图标
rollin,罗林
commentator,评论员
pitt,皮特
camilla,卡米拉
cerebral,大脑的
qin,秦
zelda,塞尔达
spoiling,破坏
tsar,沙皇
frames,框架
cushion,软垫
divers,潜水员
hallowed,神圣的
chute,滑道
cavity,空腔
reds,红人
volcanoes,火山
on.,在。
angelina,安吉丽娜
sahib,先生
strung,串起来的
watts,瓦特
40s,40多岁
monopoly,垄断
bros,兄弟
immigrant,移民
back-up,备份
apache,阿帕奇
caffeine,咖啡因
squeezing,挤压
postponed,推迟
encounters,遭遇
stuttering,口吃
rut,发情
calmed,平静的
opener,开场白
baek,白
impotent,无能为力
tabs,选项卡
franchise,特许经营权
entity,实体
slimy,粘糊糊的
hygiene,卫生
andi,安迪
containment,遏制
knickers,短裤
jumpy,神经兮兮的
pistols,手枪
irregular,不规律的
lowly,卑微的
controller,控制器
rung,梯级
hades,哈迪斯
anarchy,无政府状态
wisely,明智地
blackmailed,勒索
dudley,达德利
dramatically,戏剧性地
researching,研究
borg,博格
touchy,敏感的
fay,仙女
seventy,七十
m.o.,作案地点：
bullies,恶霸
stealth,隐身
divya,迪维亚
divisions,部门
yearbook,年鉴
abdul,阿卜杜勒
poll,轮询
blinds,百叶窗
sneezes,打喷嚏
bigfoot,大脚怪
ninety,九十
dharma,法
cramp,抽筋
cockpit,座舱
truthful,真实
lilith,莉莉丝
ghastly,阴森
hangin,杭金
edwin,埃德温
c.j.,c.j.
whines,呜呜声
corrections,更正
missionary,传教士
infinity,无穷大
cola,可乐
penance,苦行
moist,潮湿
sham,假
investor,投资者
founding,创立
krystle,克里斯特尔
caldwell,考德威尔
orientation,方向
captains,队长
flop,翻牌
columbo,科伦坡
jamming,干扰
yoo-hoo,哟呼
crossroads,十字路口
p.d.,p.d.
infrared,红外线的
pleading,恳求
sven,斯文
carroll,卡罗尔
flushed,酡
magda,玛格达
gaming,赌博
gurgling,淙淙
vinny,维尼
prairie,草原
component,成分
saudi,沙特
slapping,打耳光
gases,气体
aching,疼痛
lau,刘
abusive,辱骂的
vermin,害虫
bracelets,手镯
tyre,胎
rift,裂痕
wiring,接线
gauge,测量
robby,罗比
lifelong,终身
abstract,抽象的
pilgrimage,朝圣
theoretically,理论上
mythology,神话
johnnie,约翰尼
photographers,摄影师
wilma,威尔玛
render,使成为
rocked,震撼
iq,智商
licked,舔了
android,安卓
rhythmic,有节奏的
pianist,钢琴家
clover,三叶草
unwanted,不需要的
salvador,萨尔瓦多
troupe,剧团
feat,壮举
primarily,主要是
preposterous,荒谬
drying,烘干
unseen,看不见
raoul,拉乌尔
vulture,秃鹫
constantine,康斯坦丁
outlet,出路
git,git
pictured,如图所示
functional,功能性的
24th,24日
nitrogen,氮
cc,抄送
lest,免得
right-hand,右手
speechless,无言以对
delusions,妄想
peeping,偷看
follow-up,后续行动
refrain,避免
jerking,抽搐
engaging,吸引人的
accountable,负责的
piles,桩
ch,ch
intro,简介
rescuing,营救
orgy,狂欢
zane,赞恩
jaguar,捷豹
prue,普鲁
she,她
concerts,音乐会
schemes,计划
abusing,滥用
fatigue,疲劳
taj,泰姬陵
charitable,慈善
lili,莉莉
attracts,吸引
stirred,搅拌
invaders,侵略者
wench,丫头
kittens,小猫
riggs,里格斯
gras,格拉斯
heartbroken,肠断
suffocating,令人窒息的
youse,有色
underage,未成年人
amar,阿马尔
bugged,被窃听的
dimitri,迪米特里
m--i,米--我
klinger,克林格
metropolitan,大都市的
unions,工会
worf,沃尔夫
cds,光盘
hamster,仓鼠
omelet,煎蛋卷
humility,谦逊
grad,毕业生
obedience,服从
grub,幼虫
victorian,维多利亚时代的
lassie,恋人
posed,摆出姿势
conway,康威
resentment,怨恨
didi,滴滴
locke,洛克
dat,数据
booming,蓬勃发展
aunts,阿姨们
shay,谢伊
brigadier,准将
intrusion,入侵
hedgehog,刺猬
recipes,食谱
tacky,俗气的
or,或者
here.,这里。
hk,香港
saviour,救主
physicist,物理学家
yonder,那边
admiring,欣赏
anyplace,任何地方
forfeit,丧失
lullaby,催眠曲
oasis,绿洲
unleash,发挥
avengers,复仇者联盟
indifferent,冷漠
boxers,拳击手
truthfully,如实地
organise,组织
actresses,女演员
grin,咧嘴笑
arranging,安排
voila,瞧
hydra,九头蛇
shutters,百叶窗
pearson,皮尔逊
genesis,起源
daria,达里亚
energetic,精力充沛
postal,邮政
henrik,亨里克
aloud,大声地
hmph,哼
archive,档案
nauseous,恶心的
funniest,最有趣的
muse,沉思
ernst,恩斯特
constitutional,宪政的
recital,独奏会
covenant,盟约
cloudy,多云
prestige,声望
olivier,奥利维尔
pencils,铅笔
gunnar,贡纳尔
helper,帮手
decks,甲板
astray,误入歧途
leland,利兰
that-that,那-那
ip,ip
casing,套管
cooing,咕咕叫
ozzy,奥兹
sterile,无菌的
bagel,百吉饼
releases,发布
recognizes,认识到
lorelai,罗蕾莱
intimidate,威吓
forgery,伪造
kenya,肯尼亚
bred,培育的
dunn,邓恩
vector,向量
huck,哈克
nausea,恶心
sakura,樱花
detonate,起爆
lenin,列宁
inhuman,不人道
horsepower,马力
violating,违反
pascal,帕斯卡
informer,告密者
hooting,倒彩
plugged,堵塞
oriental,东方的
about-,关于-
pretends,假装
tram,电车
reyes,雷耶斯
spoils,战利品
chaplain,牧师
farce,闹剧
parasites,寄生虫
whipping,鞭打
cruising,巡航
violently,猛烈地
tile,瓦
ashtray,烟灰缸
und,和
neighing,嘶鸣
zones,区域
donut,油炸圈饼
spoilt,被宠坏的
nobility,贵族
decoration,装饰
sharpe,夏普
scoot,溜走
kelso,凯尔索
abdominal,腹部
updated,已更新
blueprints,蓝图
dealings,交往
pitched,倾斜的
resource,资源
coalition,联盟
hoss,霍斯
professors,教授
espionage,间谍
dishwasher,洗碗机
minded,有头脑的
cheyenne,夏延
resulted,结果
brewster,布鲁斯特
wrestler,摔跤手
cons,缺点
protesting,抗议
barbarians,野蛮人
loony,疯子
kangaroo,袋鼠
rite,仪式
dialect,方言
counsellor,顾问
tsunami,海啸
locket,挂坠盒
sorcerer,巫师
pilgrims,朝圣者
incorrect,不正确
parameters,参数
risotto,烩饭
unreliable,不可靠的
geniuses,天才
agricultural,农业
willard,威拉德
marital,婚姻
wilkes,威尔克斯
scramble,争夺
hera,赫拉
swears,发誓
starvation,饥饿
my,我的
summons,传票
aquarium,水族馆
flavors,口味
sanity,理智
roxanne,罗克珊
caste,种姓
wedge,楔
bedside,床头
experimenting,实验
truths,真相
tribunal,法庭
emerson,艾默生
darlene,达琳
automated,自动化的
treachery,背信弃义
explorer,探险家
greens,青菜
dunk,扣篮
amused,被逗乐了
fishes,鱼
kappa,河童
oleg,奥列格
goblin,小妖精
appreciates,欣赏
lark,云雀
commissioned,委托
reassuring,令人安心的
disclose,透露
seaside,海滨
politely,礼貌地
preoccupied,心事重重
incense,香
folly,蠢事
pear,梨
vikings,维京人
irs,国税局
lavender,薰衣草
graceful,优美
stretcher,担架
grande,格兰德
simulation,模拟
lasers,激光
groovy,时髦的
discussions,讨论
basin,盆地
sacrificing,牺牲
luncheon,午餐
disobey,违
snot,鼻涕
mil,密尔
sinful,有罪的
yearning,向往
gruesome,可怕的
aide,助手
i`m,我是
shen,沉
haha,哈哈
masculine,男性
mortimer,莫蒂默
extras,额外的
hopper,料斗
guides,指南
banjo,班卓琴
dina,迪娜
camelot,卡洛特
blazing,炽烈
dos,DOS
crowned,加冕
gonzalo,贡萨洛
painkillers,止痛药
rave,狂欢
foley,福利
silvia,西尔维娅
sylvie,西尔维
cover-up,掩饰
cassette,盒式磁带
sorting,排序
misplaced,放错地方的
sprung,弹起的
vs.,与
practising,练习
prehistoric,史前
howls,嚎叫
enterprises,企业
designing,设计
suspense,悬念
patti,帕蒂
japs,日本鬼子
renounce,放弃
paints,油漆
relying,依靠
w.,w。
n-no,n-无
rendered,呈现
herald,先驱报
randomly,随机地
stylish,时髦的
spleen,脾
mugged,被抢劫
investing,投资
protestant,新教
circumstantial,间接的
smear,涂抹
pantry,食品储藏室
guiding,指导
flavour,味道
hollis,霍利斯
cursing,咒骂
erection,勃起
gravel,碎石
artifact,人工制品
raccoon,狸
0h,0小时
classics,经典
enlighten,开导
enhance,提高
delivers,交付
spinach,菠菜
binding,绑定
goldman,高盛
invalid,无效的
touring,巡演
johns,约翰斯
fashioned,成型的
gilmore,吉尔摩
spilling,溢出
ledger,分类帐
quieter,更安静
meadows,梅多斯
majestic,雄伟
frequencies,频率
zhou,周
historian,历史学家
containers,容器
marisa,玛丽莎
diplomat,外交官
wrinkles,皱纹
aryan,雅利安人
subtitling,字幕
para,帕拉
nationals,国民
natalia,娜塔莉亚
rudolph,鲁道夫
palestine,巴勒斯坦
insulin,胰岛素
torpedoes,鱼雷
pagan,异教徒
swimmer,游泳者
disgraced,丢脸的
bygones,过去的事
intellect,智力
accommodate,容纳
posture,姿势
adjusting,调整
giraffe,长颈鹿
peer,同行
petersburg,圣彼得堡
religions,宗教
hammering,锤击
audiences,观众
ruben,鲁本
gigs,演出
damaging,破坏性的
colossal,庞大
renew,更新
iceberg,冰山
vigilante,义务警员
emile,埃米尔
dougie,道吉
biggie,大吉
pietro,彼得罗
chewed,咀嚼过的
cellular,细胞的
indecent,不雅的
dangerously,危险地
duane,杜安
bribed,受贿
rascals,流氓
chai,柴
ramona,雷蒙娜
grammar,语法
thrash,鞭打
hutch,笼
runners,跑步者
pager,寻呼机
stumble,绊倒
dispatcher,调度员
thankyou,谢谢
iast,最后
stump,树桩
wraps,包裹
gator,鳄鱼
teammates,队友
skye,斯凯
weakest,最弱的
disconnect,断开
melts,融化
morally,道德上
feud,世仇
apiece,一块
theatrical,戏剧
distinguish,区分
cooperating,合作
passions,激情
strive,努力
flourish,繁荣
reeves,里夫斯
unnecessarily,不必要地
janie,珍妮
perceive,感知
upstate,北部
accuracy,准确性
cosmo,科斯莫
bitterness,苦味
fundraiser,筹款活动
reflects,反映
insolent,无礼的
strauss,施特劳斯
circular,圆
generated,生成的
rumble,隆隆
pilgrim,朝圣
squirrels,松鼠
purge,清除
xander,桑德尔
mingle,交融
manufacture,生产
firemen,消防员
casually,随意地
handler,处理程序
hobbs,霍布斯
slain,被杀
phd,博士
multiply,乘
confinement,禁闭
patches,补丁
divert,转移
alfonso,阿方索
protests,抗议
versions,版本
ambrose,安布罗斯
adriana,阿德里安娜
ia,ia
mit,麻省理工学院
youthful,青春的
numbered,编号的
mustafa,穆斯塔法
herbal,草药的
kathryn,凯瑟琳
gunther,冈瑟
lawful,合法的
stacked,堆叠的
damian,达米安
reasonably,合理地
suzuki,铃木
myra,迈拉
logged,已记录
prospects,前景
mainstream,主流
sykes,赛克斯
alimony,赡养费
stating,陈述
budapest,布达佩斯
nelly,耐莉
awakened,被唤醒
curses,咒骂
ore,矿石
slices,切片
curl,卷曲
uprising,起义
cabaret,歌舞表演
manufacturer,制造商
ration,配给
boulder,巨石
manpower,人手
badges,徽章
mush,糊状
recycling,回收
disarm,解除武装
elusive,难以捉摸的
snarls,咆哮
chiu,邱
flawless,完美无瑕
considers,考虑
youre,你是
harmful,有害
horseback,马背
m.e.,我。
owens,欧文斯
admits,承认
morales,莫拉莱斯
helene,海伦
thankfully,谢天谢地
recreate,重新创造
travelers,旅行者
navigate,导航
pun,双关语
ethnic,种族的
voice-over,画外音
kono,科诺
esteemed,尊敬的
exterior,外部的
duffy,达菲
triad,三合会
licensed,许可的
gems,宝石
moira,莫伊拉
mutants,突变体
testifying,作证
dissolve,溶解
iraqi,伊拉克
robes,长袍
wildest,最狂野的
portfolio,文件夹
tossing,折腾
pussycat,猫
booby,鲣鸟
nbc,全国广播公司
simms,西姆斯
knack,诀窍
lodged,已提出
cpr,心肺复苏
lei,雷
racism,种族主义
nato,北约
mayo,蛋黄酱
gillian,阿娇
stingy,小气
kaiser,凯撒
shooters,射手
napkins,餐巾纸
continents,各大洲
registry,注册表
fags,基佬
shah,沙阿
blinking,眨眼
capt.,船长
duo,二人组
gymnastics,体操
jag,杰格
bernadette,伯纳黛特
valiant,英勇
exploited,被剥削
attachment,依恋
for,为了
trans,反式
intruders,入侵者
owning,拥有
mega,兆
crispy,脆的
administrative,行政
hawks,鹰派
crave,渴望
qu,曲
reviewed,已审查
persuasive,有说服力的
turmoil,动荡
promoting,促进
shoving,推搡
bette,贝特
unworthy,不值得的
elevators,电梯
fulfilling,充实的
ronny,罗尼
rooting,生根
irma,伊尔玛
mcqueen,麦昆
s.h.i.e.l.d.,盾。
stoop,哈腰
ee,乙醚
a.j.,a.j.
greer,格里尔
panicking,惊慌失措
panels,面板
demonstrated,证明了
myths,神话
mattie,马蒂
volleyball,排球
cheats,作弊
chord,弦
berkeley,伯克利
oblige,义务
radiant,容光焕发的
anticipation,预期
fibers,纤维
daleks,达莱克斯
aroused,激起
paralysis,麻痹
ferocious,凶猛
heinous,令人发指的
roulette,轮盘赌
emergencies,紧急情况
olaf,奥拉夫
enjoyable,令人愉快的
torso,躯干
compassionate,富有同情心的
softer,较软
delegation,代表团
can`t,不能
fangs,獠牙
plaque,牌匾
alonso,阿隆索
moi,我
o.j.,o.j.
bowman,鲍曼
uterus,子宫
buggy,越野车
kristina,克里斯蒂娜
denies,否认
tally,相符
neighs,嘶鸣
unusually,不寻常地
tibet,西藏
fez,菲斯
charcoal,木炭
healer,治疗师
weirdest,最奇怪的
eel,鳗鱼
recordings,录音
tamil,泰米尔语
naw,瑙
camouflage,伪装
seagulls,海鸥
hub,中心
shoulda,应该
mailman,邮递员
buckley,巴克利
furry,毛茸茸的
pronto,很快
sedan,轿车
kermit,克米特
amir,阿米尔
edible,食用
trifle,琐事
delusion,妄想
foundations,基金会
calcutta,加尔各答
cubes,立方体
colon,冒号
crotch,裆
tariq,塔里克
costing,成本核算
resisted,抵制
leila,莱拉
snail,蜗牛
ursula,乌苏拉
strippers,脱衣舞娘
there-,那里-
vista,远景
sorta,排序
fiend,恶魔
ultra,极端主义者
restrain,抑制
pinkie,小指
voluntary,自愿
widely,广泛
uncommon,罕见
blackie,黑人
farrell,法雷尔
infiltrate,浸润
erika,埃里卡
sophomore,大二学生
radios,收音机
ringo,林戈
medallion,奖章
eiffel,埃菲尔铁塔
yamato,大和
wilder,怀尔德
dyke,堤防
bailiff,执达主任
